sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,variation,variation stock,variation price,tags,meta_tag,meta_description,attibutes,details,user_id,size_pre_price,size_image,short_details,youtube,slug,other_image,status,minPrice,maxPrice
AJPIN001461,Imitation Jewellery,,Necklace,Traditional Lakshmi Peacock Necklace,https://shop.southindiajewels.com/wp-content/uploads/2020/10/Traditional-Lakshmi-Peacock-Necklace-scaled.jpg,Beautiful Lakshmi peacock necklace with pink and green stones. Necklace - 45 cm.,2754,3060,0,,,,Classic Imitation Lakshmi peacock necklace,Classic Imitation Lakshmi peacock necklace,Classic Imitation Lakshmi peacock necklace with peacock design earrings gives festive look.,,Beautiful Lakshmi peacock necklace with pink and green stones. Necklace - 45 cm.,38,,,Beautiful Lakshmi peacock necklace with pink and green stones. Necklace - 45 cm.,,Beautiful Lakshmi ,"https://shop.southindiajewels.com/wp-content/uploads/2020/10/Traditional-Lakshmi-Peacock-Necklace-scaled.jpg,https://shop.southindiajewels.com/wp-content/uploads/2020/10/Traditional-Lakshmi-Peacock-Necklace-scaled.jpg",1,1,100
AJPIB001971,Imitation Jewellery,Bangle,,Classic Lakshmi Coin Bangle,https://shop.southindiajewels.com/wp-content/uploads/2020/11/Classic-Lakshmi-Coin-Bangle-2-scaled.jpg,Traditional & classic Lakshmi coin two set of bangles in 2.6 size.,2350,0,1,,,,,,,,Traditional & classic Lakshmi coin two set of bangles in 2.6 size.,38,,,Traditional & classic Lakshmi coin two set of bangles in 2.6 size.,,Trsditional,,1,2,200
